Difficulty Mean SD Cut.score obs.min Min.score obs.max Max.score Prop.max.score RIR RIT Corr.criterion ULI gULI Alpha.drop Index.rel Index.val Perc.miss Perc.nr
i25 0.864406779661017 0.864406779661017 0.345294832472996 NA 0 0 1 1 0.864406779661017 0.245603821954617 0.280598583650007 NA 0.0089285714285714 NA -2.99278030574945 0.0968892409335889 NA 47.787610619469 0
i26 0.526315789473684 0.526315789473684 0.503745370694601 NA 0 0 1 1 0.526315789473684 0.284016354530994 0.364182397460009 NA 0.321428571428571 NA -3.14554723326169 0.183455196808941 NA 49.5575221238938 0
i27 0.857142857142857 0.857142857142857 0.3530939318019 NA 0 0 1 1 0.857142857142857 0.126284934990642 0.163014415263337 NA 0.0714285714285714 NA -2.95683411862493 0.0575594008257194 NA 50.4424778761062 0
i28 0.796296296296296 0.796296296296296 0.406532953925673 NA 0 0 1 1 0.796296296296296 0.0598508787642078 0.104900334347809 NA 0.0089285714285714 NA -2.94205901605018 0.0426454427902055 NA 52.212389380531 0
i29 0.627450980392157 0.627450980392157 0.488294350314459 NA 0 0 1 1 0.627450980392157 0.112596382703492 0.194804407069232 NA 0.294642857142857 NA -3.01357057619488 0.0951218913882641 NA 54.8672566371681 0
i30 0.68 0.68 0.471212071499161 NA 0 0 1 1 0.68 0.455603269748237 0.51614063954253 NA 0.571428571428571 NA -3.2265252430342 0.243211699943738 NA 55.7522123893805 0
i31 0.775510204081633 0.775510204081633 0.421569790705376 NA 0 0 1 1 0.775510204081633 0.129417509869507 0.18978166686747 NA 0.223214285714286 NA -2.99084557509568 0.0800062175810364 NA 56.6371681415929 0
i32 0.680851063829787 0.680851063829787 0.471186429398008 NA 0 0 1 1 0.680851063829787 0.420195175744743 0.484955547778754 NA 0.375 NA -3.21255592775617 0.228504472974626 NA 58.4070796460177 0
i33 0.488888888888889 0.488888888888889 0.505525029603437 NA 0 0 1 1 0.488888888888889 0.412638953683174 0.485770938690009 NA 0.535714285714286 NA -3.24821477983 0.245569368161756 NA 60.1769911504425 0
i34 0.909090909090909 0.909090909090909 0.290803363451153 NA 0 0 1 1 0.909090909090909 0.0713557965024638 0.122633231765506 NA 0.151785714285714 NA -2.95492798022103 0.0356621562682938 NA 61.0619469026549 0
me_Total 0.574700676730869 19.5398230088496 10.5161741058969 NA 0 0 34 34 0.079646017699115 0.61327338985107 0.868895085871622 NA 0.144170168067227 NA 0.11148235474383 9.13745200278425 NA 0 0
